"state","production_sum","year","adults_pop","consume_per_capita","needed_people","alcoholic_percent","everyone_drink"
"AK",6001020.92,2018,526639,11.973,501213,95.1720248595337,"NO"
"AL",2040843.46,2018,3606639,11.654,175120,4.85549011143061,"NO"
"AR",881718.43,2018,2191256,10.13,87041,3.97219676751598,"NO"
"AZ",5448657.34,2018,5238099,12.144,448671,8.56553112111856,"NO"
"CA",574636115.28,2018,29023186,11.277,50956471,175.571596447061,"YES"
"CO",565207569.75,2018,4210663,12.746,44343918,1053.1338651419,"YES"
"CT",6017092.25,2018,2681657,8.979,670130,24.9894002103923,"NO"
"DC",945776.21,2018,543066,11.816,80042,14.7389083463152,"NO"
"DE",9267417.14,2018,726161,12.394,747735,102.970966493656,"YES"
"FL",350151989.26,2018,16343540,11.568,30269018,185.204784275622,"YES"
"GA",439530259.26,2018,7577687,10.786,40750071,537.7639773192,"YES"
"HI",2520847.15,2018,1070283,14.129,178417,16.67007697964,"NO"
"IA",2928671.06,2018,2286374,14.085,207929,9.09426891663394,"NO"
"ID",1325029.28,2018,1237555,10.216,129702,10.4805038967965,"NO"
"IL",48457245.76,2018,9391158,12.142,3990879,42.4961330647403,"NO"
"IN",5374609.19,2018,4842337,10.876,494172,10.2052376775925,"NO"
"KS",789848.38,2018,2080227,11.197,70542,3.39107222432936,"NO"
"KY",5765534.38,2018,3284417,10.437,552413,16.8192102281775,"NO"
"LA",5289005.48,2018,3389668,13.77,384097,11.3314047275426,"NO"
"MA",13812859.41,2018,5223695,10.227,1350627,25.8557783331531,"NO"
"MD",9993280.9,2018,4473319,8.717,1146413,25.6277944854816,"NO"
"ME",7142724.57,2018,1040553,14.747,484352,46.5475569240586,"NO"
"MI",43007641.37,2018,7428727,11.277,3813749,51.3378537130251,"NO"
"MN",21078717.84,2018,4096345,12.778,1649611,40.2703141459032,"NO"
"MO",394413693.47,2018,4511800,12.405,31794736,704.701804157986,"YES"
"MS",648452.11,2018,2153795,13.712,47291,2.19570571943941,"NO"
"MT",4610349.76,2018,793151,17.869,258009,32.5296192023965,"NO"
"NC",43857642.77,2018,7655465,11.653,3763636,49.1627353792356,"NO"
"ND",225221.51,2018,548159,16.885,13339,2.43341804111581,"NO"
"NE",1497797.86,2018,1370984,13.818,108395,7.90636506334137,"NO"
"NH",90291895.8,2018,1042882,19.958,4524096,433.807084598258,"YES"
"NJ",99249937.59,2018,6634683,8.956,11081950,167.030587595519,"YES"
"NM",3322624.02,2018,1529540,12.012,276609,18.084456764779,"NO"
"NV",1289252.18,2018,2246259,15.06,85608,3.81113664986985,"NO"
"NY",248243265.68,2018,14724807,9.814,25294811,171.783650542924,"YES"
"OH",547477682.09,2018,8635039,12.349,44333767,513.417102111525,"YES"
"OK",559793.04,2018,2825905,11.339,49369,1.74701555784784,"NO"
"OR",47013824.69,2018,3167912,13.408,3506402,110.68495589524,"YES"
"PA",158424066.87,2018,9645705,14.365,11028477,114.335623990159,"YES"
"RI",1970763,2018,800838,10.173,193725,24.1902856757546,"NO"
"SC",2240469.82,2018,3775169,12.39,180829,4.78995774758693,"NO"
"SD",375241.98,2018,628778,15.53,24163,3.8428507358718,"NO"
"TN",57726508.33,2018,5011030,10.992,5251684,104.802485716509,"YES"
"TX",564798953.48,2018,20117015,13.827,40847542,203.049716869029,"YES"
"UT",5338382.28,2018,2086759,6.759,789819,37.8490760073396,"NO"
"VA",425459055.15,2018,6307643,10.583,40202122,637.355696890265,"YES"
"VT",8486960.52,2018,478451,17.202,493371,103.118396659219,"YES"
"WA",16076187.7,2018,5606920,10.079,1595019,28.4473293715623,"NO"
"WI",320686668.13,2018,4302174,14.514,22094989,513.577298361247,"YES"
"WV",327109.21,2018,1375788,12.796,25564,1.85813511965506,"NO"
"WY",1337919.39,2018,421045,13.662,97930,23.2587965656878,"NO"
