year,show,award
1947,not awarded,YES
1948,not awarded,YES
1949,"Kiss Me, Kate ",YES
1950,South Pacific ,YES
1951,Guys and Dolls ,YES
1952,The King and I ,YES
1953,Wonderful Town ,YES
1954,Kismet ,YES
1955,The Pajama Game ,YES
1956,Damn Yankees ,YES
1957,My Fair Lady ,YES
1958,The Music Man ,YES
1959,Redhead ,YES
1960,The Sound of Music ,YES
1960,Fiorello! ,YES
1961,Bye Bye Birdie ,YES
1962,How to Succeed in Business Without Really Trying ,YES
1963,A Funny Thing Happened on the Way to the Forum ,YES
1964,"Hello, Dolly! ",YES
1965,Fiddler on the Roof ,YES
1966,Man of La Mancha ,YES
1967,Cabaret ,YES
1968,"Hallelujah, Baby! ",YES
1969,1776,YES
1970,Applause ,YES
1971,Company ,YES
1972,Two Gentlemen of Verona ,YES
1973,A Little Night Music ,YES
1974,Raisin ,YES
1975,The Wiz ,YES
1976,A Chorus Line ,YES
1977,Annie ,YES
1978,Ain't Misbehavin' ,YES
1979,Sweeney Todd ,YES
1980,Evita ,YES
1981,42nd Street ,YES
1982,Nine ,YES
1983,Cats ,YES
1984,La Cage aux folles ,YES
1985,Big River ,YES
1986,The Mystery of Edwin Drood ,YES
1987,Les Misérables ,YES
1988,The Phantom of the Opera ,YES
1989,Jerome Robbins' Broadway ,YES
1990,City of Angels ,YES
1991,The Will Rogers Follies ,YES
1992,Crazy for You ,YES
1993,Kiss of the Spider Woman ,YES
1994,Passion ,YES
1995,Sunset Boulevard ,YES
1996,Rent ,YES
1997,Titanic ,YES
1998,The Lion King ,YES
1999,Fosse ,YES
2000,Contact ,YES
2001,The Producers ,YES
2002,Thoroughly Modern Millie ,YES
2003,Hairspray ,YES
2004,Avenue Q ,YES
2005,Monty Python's Spamalot ,YES
2006,Jersey Boys ,YES
2007,Spring Awakening ,YES
2008,In the Heights ,YES
2009,Billy Elliot: The Musical ,YES
2010,Memphis ,YES
2011,The Book of Mormon ,YES
2012,Once ,YES
2013,Kinky Boots ,YES
2014,A Gentleman's Guide to Love & Murder ,YES
2015,Fun Home ,YES
2016,Hamilton ,YES
2017,Dear Evan Hansen ,YES
2018,The Band's Visit ,YES
